1,Mazowieckie,Wroc³awski,Brzeszcze,Brody
2,Opolskie,Starachowicki,Styków,Kraków
3,Opolskie,Kielecki,Styków,Wroc³aw
4,Mazowieckie,Skar¿yski,Rzepin,Wroc³aw
5,Lubelskie,Olkuski,Rzepin,Wroc³aw
6,Opolskie,Skar¿yski,Wilamowice,Brody
7,£ódzkie,Skar¿yski,Brody,Krynki
8,£ódzkie,Wroc³awski,I³¿a,I³¿a
9,Kujawsko-Pomorskie,Gorzowski,Starachowice,Krynki
10,Lubuskie,Starachowicki,Brzeszcze,Dziurów
11,£ódzkie,Olkuski,Styków,Kraków
12,Opolskie,Brzeski,Styków,I³¿a
13,Lubelskie,Brzeski,I³¿a,Wroc³aw
14,Lubuskie,Ostrowiecki,Brzeszcze,Krynki
15,Ma³opolskie,Wroc³awski,I³¿a,Dziurów
16,Dolnoœl¹skie,Wroc³awski,Brzeszcze,I³¿a
17,Lubelskie,Starachowicki,Wilamowice,Starachowice
18,Lubuskie,Gorzowski,Styków,I³¿a
19,Lubelskie,Starachowicki,Szyd³owiec,Brody
20,Kujawsko-Pomorskie,Starachowicki,Starachowice,I³¿a
21,Ma³opolskie,Starachowicki,Wilamowice,Wroc³aw
22,Dolnoœl¹skie,Brzeski,I³¿a,I³¿a
23,Lubelskie,Wroc³awski,Styków,Kraków
24,Ma³opolskie,Olkuski,I³¿a,Brody
25,Dolnoœl¹skie,Starachowicki,Starachowice,I³¿a
26,Mazowieckie,Gorzowski,Wilamowice,Wroc³aw
27,Dolnoœl¹skie,Brzeski,Szyd³owiec,Brody
28,Kujawsko-Pomorskie,Olkuski,Starachowice,Warszawa
29,Kujawsko-Pomorskie,Starachowicki,Starachowice,I³¿a
30,£ódzkie,Skar¿yski,I³¿a,Dziurów
31,Lubuskie,Gorzowski,Brzeszcze,Warszawa
32,Lubuskie,Wroc³awski,Starachowice,Kraków
33,£ódzkie,Ostrowiecki,Brody,Warszawa
34,Ma³opolskie,Kielecki,I³¿a,Krynki
35,Mazowieckie,Gorzowski,Starachowice,Brody
36,Mazowieckie,Wroc³awski,Starachowice,Warszawa
37,Mazowieckie,Brzeski,Rzepin,Brody
38,Mazowieckie,Ostrowiecki,Brody,Krynki
39,Dolnoœl¹skie,Brzeski,Rzepin,Kraków
40,Lubelskie,Ostrowiecki,Brody,Krynki
41,Mazowieckie,Starachowicki,Brody,Dziurów
42,Mazowieckie,Ostrowiecki,Wilamowice,I³¿a
43,Ma³opolskie,Olkuski,Brody,I³¿a
44,Kujawsko-Pomorskie,Brzeski,Styków,I³¿a
45,Dolnoœl¹skie,Olkuski,Rzepin,Krynki
46,Kujawsko-Pomorskie,Kielecki,Szyd³owiec,Dziurów
47,Kujawsko-Pomorskie,Wroc³awski,Szyd³owiec,Dziurów
48,Lubelskie,Wroc³awski,I³¿a,Starachowice
49,Mazowieckie,Ostrowiecki,Styków,Warszawa
50,Lubuskie,Brzeski,Styków,Warszawa
